year,country,WEF_defacto_score,EF_PR_dejure_score,treatment_TRIPS,TRIPS_law_conformity,non_TRIPS_sum,EF_overall_score,EF_trade_freedom,borders_treated
2006,Albania,2,30,0,1,0,60.3,62.4,0
2007,Albania,2.2,30,0,1,0,61.4,73.2,0
2008,Albania,2.4,30,0,1,0,62.4,75.8,0
2009,Albania,2.5,30,0,1,0,63.7,75.8,0
2011,Albania,3,35,0,1,0,64,79.8,1
2012,Albania,3,35,0,1,0,65.1,79.8,1
2013,Albania,2.9,30,0,1,0,65.2,79.8,1
2014,Albania,2.9,30,0,1,0,66.9,87.5,1
2015,Albania,3.2,30,0,1,0,65.7,87.8,1
2016,Albania,3.3,35,0,1,0,65.9,87.6,1
2017,Albania,3.4,54,0,1,0,64.4,87.7,1
2018,Albania,3.5,54.1,0,1,0,64.5,87.8,1
2019,Albania,3.1,54.8,0,1,0,66.5,87.8,1
2006,Algeria,2.9,30,0,1,0,55.7,61,0
2007,Algeria,3,30,0,1,0,55.4,66,0
2008,Algeria,2.5,30,0,1,0,56.2,68.8,0
2009,Algeria,2.6,30,0,1,0,56.6,68.6,0
2011,Algeria,2.2,30,0,1,0,52.4,72.8,0
2012,Algeria,1.8,30,0,1,0,51,72.8,0
2013,Algeria,2.2,30,0,1,0,49.6,67.8,0
2014,Algeria,2.9,30,0,1,0,50.8,60.8,0
2015,Algeria,3.3,30,0,1,0,48.9,60.8,0
2016,Algeria,3.4,25,0,1,0,50.1,60.8,0
2017,Algeria,3.7,38.2,0,1,0,46.5,63.3,0
2018,Algeria,3.8,27.8,0,1,0,44.7,63.5,0
2019,Algeria,4,31.6,0,1,0,46.2,67.4,0
2006,Argentina,3,30,0,1,0,53.4,67.4,0
2007,Argentina,2.8,30,0,1,0,54,61.4,0
2008,Argentina,2.7,30,0,1,0,54.2,69.6,0
2009,Argentina,2.5,20,0,1,0,52.3,70,0
2011,Argentina,2.5,20,0,1,2,51.7,69.5,0
2012,Argentina,2.4,20,0,1,21,48,67.6,0
2013,Argentina,2.3,15,0,1,26,46.7,67.6,0
2014,Argentina,2.4,15,0,1,28,44.6,68.9,0
2015,Argentina,3,15,0,1,29,44.1,68.8,0
2016,Argentina,3.6,15,0,1,30,43.8,67.4,0
2017,Argentina,3.7,32.4,0,1,30,50.4,66.7,0
2018,Argentina,3.7,40.8,0,1,30,52.3,70.3,0
2019,Argentina,3.9,47.8,0,1,30,52.2,70,0
2006,Armenia,2.5,50,0,1,0,70.6,80.6,0
2007,Armenia,2.7,30,0,1,0,68.6,85.6,0
2008,Armenia,2.7,35,0,1,0,69.9,85,0
2009,Armenia,2.7,35,0,1,0,69.9,86.4,0
2011,Armenia,3,30,0,1,1,69.7,85.5,0
2012,Armenia,3.4,30,0,1,1,68.8,85.4,0
2013,Armenia,3.6,30,0,1,1,69.4,85.4,0
2014,Armenia,3.5,30,0,1,1,68.9,85.5,0
2015,Armenia,3.5,20,0,1,1,67.1,85.4,0
2016,Armenia,3.8,20,0,1,1,67,85.6,0
2017,Armenia,4,55.5,0,1,1,70.3,80.2,0
2018,Armenia,4.1,55.3,0,1,1,68.7,80,0
2019,Armenia,4.2,57.2,0,1,3,67.7,80.8,1
2006,Australia,5.8,90,0,1,0,79.9,77.4,0
2007,Australia,5.9,90,0,1,1,81.1,83.8,0
2008,Australia,5.9,90,0,1,1,82.2,83.8,0
2009,Australia,5.8,90,0,1,1,82.6,84.8,0
2011,Australia,5.3,90,0,1,1,82.5,84.4,0
2012,Australia,5.3,90,0,1,7,83.1,86.2,0
2013,Australia,5.3,90,0,1,11,82.6,86.2,0
2014,Australia,5.5,90,0,1,11,82,86.4,0
2015,Australia,5.8,90,0,1,11,81.4,86.4,0
2016,Australia,5.8,90,0,1,11,80.3,86.4,0
2017,Australia,5.8,81.7,0,1,12,81,86.2,0
2018,Australia,5.8,78.7,0,1,12,80.9,86.2,0
2019,Australia,5.7,79.1,0,1,12,80.9,87.6,0
2006,Azerbaijan,2.9,30,0,1,0,53.2,72.6,0
2007,Azerbaijan,3,30,0,1,0,54.6,77.6,0
2008,Azerbaijan,3.5,30,0,1,0,55.3,78.4,0
2009,Azerbaijan,3.8,25,0,1,0,58,78.4,0
2011,Azerbaijan,3.7,20,0,1,0,59.7,77.1,0
2012,Azerbaijan,3.9,20,0,1,0,58.9,77.2,0
2013,Azerbaijan,3.7,25,0,1,0,59.7,77.2,0
2014,Azerbaijan,3.5,20,0,1,0,61.3,77.2,0
2015,Azerbaijan,3.5,20,0,1,0,61,76,0
