year,country,WEF_defacto_score,EF_PR_dejure_score,treatment_TRIPS,TRIPS_law_conformity,non_TRIPS_sum,EF_overall_score,EF_trade_freedom,borders_treated
2006,Albania,-1.658690912,-0.678799972,0,1,0,-0.095666994,-1.155010117,0
2007,Albania,-1.470670639,-0.678799972,0,1,0,0.012453606,-0.146803122,0
2008,Albania,-1.282650367,-0.678799972,0,1,0,0.110745061,0.095913376,0
2009,Albania,-1.18864023,-0.678799972,0,1,0,0.238523953,0.095913376,0
2011,Albania,-0.718589549,-0.450976717,0,1,0,0.268011389,0.469323375,1
2012,Albania,-0.718589549,-0.450976717,0,1,0,0.37613199,0.469323375,1
2013,Albania,-0.812599685,-0.678799972,0,1,0,0.385961135,0.469323375,1
2014,Albania,-0.812599685,-0.678799972,0,1,0,0.553056609,1.188137621,1
2015,Albania,-0.530569277,-0.678799972,0,1,0,0.435106863,1.216143371,1
2016,Albania,-0.43655914,-0.450976717,0,1,0,0.454765154,1.197472871,1
2017,Albania,-0.342549004,0.414751653,0,1,0,0.307327971,1.206808121,1
2018,Albania,-0.248538868,0.419308118,0,1,0,0.317157117,1.216143371,1
2019,Albania,-0.624579413,0.451203374,0,1,0,0.513740027,1.216143371,1
2006,Algeria,-0.812599685,-0.678799972,0,1,0,-0.547807687,-1.285703617,0
2007,Algeria,-0.718589549,-0.678799972,0,1,0,-0.577295123,-0.818941119,0
2008,Algeria,-1.18864023,-0.678799972,0,1,0,-0.498661959,-0.55755412,0
2009,Algeria,-1.094630094,-0.678799972,0,1,0,-0.459345377,-0.57622462,0
2011,Algeria,-1.470670639,-0.678799972,0,1,0,-0.872169488,-0.184144122,0
2012,Algeria,-1.846711184,-0.678799972,0,1,0,-1.009777525,-0.184144122,0
2013,Algeria,-1.470670639,-0.678799972,0,1,0,-1.147385562,-0.65090662,0
2014,Algeria,-0.812599685,-0.678799972,0,1,0,-1.029435816,-1.304374117,0
2015,Algeria,-0.43655914,-0.678799972,0,1,0,-1.21618958,-1.304374117,0
2016,Algeria,-0.342549004,-0.906623228,0,1,0,-1.098239835,-1.304374117,0
2017,Algeria,-0.060518595,-0.305169834,0,1,0,-1.452089072,-1.070992868,0
2018,Algeria,0.033491541,-0.779042205,0,1,0,-1.629013691,-1.052322368,0
2019,Algeria,0.221511813,-0.605896531,0,1,0,-1.481576509,-0.68824762,0
2011,Angola,-1.282650367,-1.134446483,0,1,0,-1.481576509,-0.426860621,0
2013,Angola,-1.282650367,-1.362269738,0,1,0,-1.373455908,-0.426860621,0
2014,Angola,-1.376660503,-1.362269738,0,1,0,-1.334139326,-0.436195871,0
2018,Angola,-1.094630094,-0.405412066,0,1,0,-1.245677017,-1.425732366,0
2019,Angola,-1.000619958,-0.409968531,0,1,0,-1.049094107,-1.267033117,0
2006,Argentina,-0.718589549,-0.678799972,0,1,0,-0.773878033,-0.68824762,0
2007,Argentina,-0.906609822,-0.678799972,0,1,0,-0.71490316,-1.248362617,0
