"","name","centroid.lon","centroid.lat"
"11","Albania",20,41
"16","United Arab Emirates",54,24
"18","Argentina",-65.167,-35.377
"20","Armenia",45,40
"30","Australia",133,-27
"34","Azerbaijan",47.395,40.43
"36","Burundi",30,-3.5
"45","Bangladesh",90,24
"49","Bahrain",50.55,26
"65","Brazil",-53.089,-10.772
"75","Botswana",23.815,-22.182
"79","Canada",-95,60
"83","Switzerland",7.908,46.861
"85","Chile",-71,-30
"87","China",105,35
"91","Cameroon",12,6
"99","Colombia",-73.076,3.9
"105","Costa Rica",-83.946,9.971
"126","Dominican Republic",-70.6666666667,19
"128","Algeria",2.632,28.163
"132","Egypt",30,27
"142","Ethiopia",39.616,8.626
"160","Georgia",43.518,42.176
"184","Guatemala",-90.25,15.5
"192","Hong Kong SAR China",114.129,22.423
"196","Honduras",-86.5,15
"204","Indonesia",114.252,-0.976
"208","India",79.619,22.881
"218","Iceland",-18,65
"220","Israel",34.75,31.5
"224","Jamaica",-77.5,18.25
"228","Jordan",36,31
"230","Japan",138,36
"232","Kazakhstan",67.301,48.16
"234","Kenya",37.858,0.53
"238","Cambodia",105,13
"244","South Korea",128.103,36.504
"246","Kuwait",47.376,29.476
"260","Sri Lanka",81,7
"262","Lesotho",28.243,-29.581
"274","Morocco",-5,32
"284","Mexico",-102,23
"290","Mali",-4,17
"298","Mongolia",105,46
"302","Mozambique",37.923,-14.422
"304","Mauritania",-12,20
"310","Mauritius",57.583,-20.255
"314","Malaysia",112.5,2.5
"318","Namibia",17,-22
"326","Nigeria",8,10
"328","Nicaragua",-85,13
"334","Norway",8.74,61.152
"336","Nepal",83.939,28.253
"340","New Zealand",174,-41
"344","Pakistan",70,30
"346","Panama",-80.92,8.384
"350","Peru",-75.552,-9.326
"352","Philippines",122,13
"366","Paraguay",-58,-23
"372","Qatar",51.191,25.316
"378","Russia",100,60
"388","Singapore",103.8,1.36666666667
"400","El Salvador",-88.866,13.736
"430","Chad",19,15
"434","Thailand",100.844,15.7
"450","Turkey",35.179,39.061
"454","Taiwan",120.946,23.754
"456","Tanzania",35,-6
"458","Uganda",32,1
"460","Ukraine",32,49
"464","Uruguay",-56.012,-32.8
"466","United States",-97,38
"474","Venezuela",-66.166,7.125
"480","Vietnam",105.314,21.491
"490","South Africa",23.121,-30.558
"492","Zambia",30,-15
"494","Zimbabwe",29.872,-19
